NU_ANO_CENSO,NO_REGIAO_IES,TP_REDE,NO_CURSO,CO_CURSO,NO_CINE_AREA_GERAL,,TP_GRAU_ACADEMICO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_CONC_PROCESCPUBLICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Artes Cênicas - Interpretação Teatral,22851,Artes e humanidades,,1,5,5,1,1,0,0,0,1,0,0,0,118,70,48,37,8,69,2,2,0,16,9,7,9,0,7,0,0,0,1,1,1,45,34,28,3,2,1,1,0,66,52,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sul,1,Artes Visuais,151,Educação,,2,78,90,20,17,3,9,1,10,0,0,0,160,105,55,48,12,97,3,0,0,20,15,5,5,1,13,1,0,0,8,8,5,66,56,41,5,5,2,18,2,100,60,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Nordeste,1,Artes Visuais,52159,Educação,,2,26,37,9,8,1,3,1,5,0,0,0,82,45,37,33,10,39,0,0,0,17,9,8,6,3,8,0,0,0,3,2,3,30,21,22,3,1,2,8,1,49,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Artes Visuais,300151,Artes e humanidades,,1,74,161,50,32,18,23,3,23,1,0,0,199,131,68,65,11,122,1,0,0,22,15,7,10,1,11,0,0,0,8,6,4,43,34,23,4,4,0,43,7,119,80,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Biblioteconomia,146,"Ciências sociais, comunicação e informação",,1,100,135,65,48,17,22,8,35,0,0,0,349,261,88,88,39,221,1,0,0,25,17,8,7,3,15,0,0,0,26,25,15,157,138,92,10,7,5,60,5,253,96,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Nordeste,1,Biotecnologia,1173351,"Ciências naturais, matemática e estatística",,1,81,450,72,43,29,37,4,31,0,0,0,323,184,139,90,14,214,5,0,0,27,19,8,13,2,10,2,0,0,30,26,15,149,133,83,11,8,6,72,0,221,102,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Ciência Da Computação,127,Computação e Tecnologias da Informação e Comunicação (TIC),,1,81,1444,79,8,71,37,6,36,0,0,0,482,63,419,147,34,294,7,0,0,41,5,36,12,4,23,2,0,0,42,38,28,235,208,150,15,13,12,76,3,327,155,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Nordeste,1,Ciência Política,156,"Ciências sociais, comunicação e informação",,1,119,406,100,56,44,47,13,39,0,1,0,531,286,245,155,46,324,1,5,0,75,36,39,22,11,42,0,0,0,38,32,27,244,216,153,34,31,23,93,7,357,174,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Ciências Ambientais,122202,"Ciências naturais, matemática e estatística",,1,93,96,53,29,24,27,5,20,0,0,1,304,187,117,104,18,179,2,0,1,33,23,10,9,2,22,0,0,0,14,13,10,94,77,60,11,8,8,50,3,177,127,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Ciências Biológicas,160,Educação,,2,144,246,102,67,35,42,8,50,1,1,0,522,327,195,167,28,319,7,1,0,63,41,22,24,3,36,0,0,0,30,29,12,230,211,127,26,24,14,90,12,354,168,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Ciências Biológicas,44382,"Ciências naturais, matemática e estatística",,1,109,757,116,73,43,44,11,60,1,0,0,460,292,168,135,37,281,4,3,0,87,57,30,35,7,44,1,0,0,42,39,26,219,194,132,32,30,15,96,20,322,138,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Ciências Contábeis,149,"Negócios, administração e direito",,1,159,270,123,68,55,46,14,63,0,0,0,686,318,368,172,51,459,4,0,0,108,53,55,22,8,77,1,0,0,44,38,28,325,287,204,53,46,35,114,9,476,210,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Ciências Contábeis,167,"Negócios, administração e direito",,1,144,300,115,56,59,40,13,62,0,0,0,589,235,354,158,34,392,5,0,0,81,28,53,32,2,45,2,0,0,55,45,34,292,253,181,38,37,19,103,12,404,185,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
